input:  [ACTION]: player_input,output: [CHECK]: check_required
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I attempt to lift the coin purse from the merchant's belt.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I attempt to lift the coin purse from the merchant's belt.,output: [CHECK]: Sleight of Hand
"input:  [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'.",output: [CHECK]: Persuasion
"input:  [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'.",output: [CHECK]: Persuasion
input:  [ACTION]: I check the door for traps.,output: [CHECK]: Investigation
input:  [ACTION]: I check the door for traps.,output: [CHECK]: Investigation
input:  [ACTION]: I try to jump across the chasm.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to jump across the chasm.,output: [CHECK]: Acrobatics
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I attempt to climb the icy cliff.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to climb the icy cliff.,output: [CHECK]: Athletics
input:  [ACTION]: I let out a fearsome roar to try and scare it away.,output: [CHECK]: Intimidation
input:  [ACTION]: I let out a fearsome roar to try and scare it away.,output: [CHECK]: Intimidation
input:  [ACTION]: I offer the traveler my spare fur cloak.,output: [CHECK]: None
input:  [ACTION]: I listen carefully to determine the source of the sound.,output: [CHECK]: Perception
input:  [ACTION]: I listen carefully to determine the source of the sound.,output: [CHECK]: Perception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I try to decipher the arcane lock.,output: [CHECK]: Arcana
input:  [ACTION]: I try to decipher the arcane lock.,output: [CHECK]: Arcana
"input:  [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge.",output: [CHECK]: Persuasion
"input:  [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge.",output: [CHECK]: Persuasion
input:  [ACTION]: I examine the wall for secret passages.,output: [CHECK]: Investigation
input:  [ACTION]: I examine the wall for secret passages.,output: [CHECK]: Investigation
input:  [ACTION]: I attempt to memorize the spell written on the scroll.,output: [CHECK]: Intelligence
input:  [ACTION]: I attempt to memorize the spell written on the scroll.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to win over the crowd with a lively song.,output: [CHECK]: Performance
input:  [ACTION]: I try to win over the crowd with a lively song.,output: [CHECK]: Performance
input:  [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue.,output: [CHECK]: Deception
input:  [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue.,output: [CHECK]: Deception
"input:  [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense.",output: [CHECK]: Persuasion
"input:  [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense.",output: [CHECK]: Persuasion
input:  [ACTION]: I listen in on the conversations around me.,output: [CHECK]: Perception
input:  [ACTION]: I listen in on the conversations around me.,output: [CHECK]: Perception
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I use my divine magic to try and heal the child.,output: [CHECK]: Medicine
input:  [ACTION]: I use my divine magic to try and heal the child.,output: [CHECK]: Medicine
input:  [ACTION]: I try to identify the symbol.,output: [CHECK]: Religion
input:  [ACTION]: I try to identify the symbol.,output: [CHECK]: Religion
"input:  [ACTION]: I try to reassure him, promising the Sun God's protection.",output: [CHECK]: Persuasion
"input:  [ACTION]: I try to reassure him, promising the Sun God's protection.",output: [CHECK]: Persuasion
input:  [ACTION]: I can feel the evil here. I want to know where it's strongest.,output: [CHECK]: Divine Sense
input:  [ACTION]: I can feel the evil here. I want to know where it's strongest.,output: [CHECK]: Divine Sense
input:  [ACTION]: I attempt to sneak past the guard.,output: [CHECK]: Stealth
input:  [ACTION]: I attempt to sneak past the guard.,output: [CHECK]: Stealth
input:  [ACTION]: I use my thieves' tools to pick the lock.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I use my thieves' tools to pick the lock.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I ignore his taunts and ready my axe.,output: [CHECK]: Wisdom
input:  [ACTION]: I ignore his taunts and ready my axe.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to identify what kind of creature made these tracks.,output: [CHECK]: Survival
input:  [ACTION]: I try to identify what kind of creature made these tracks.,output: [CHECK]: Survival
input:  [ACTION]: I try to push the boulder out of the way.,output: [CHECK]: Athletics
input:  [ACTION]: I try to push the boulder out of the way.,output: [CHECK]: Athletics
input:  [ACTION]: I try to remember what my books said about the native creatures here.,output: [CHECK]: Nature
input:  [ACTION]: I try to remember what my books said about the native creatures here.,output: [CHECK]: Nature
input:  [ACTION]: I try to discern its function.,output: [CHECK]: Arcana
input:  [ACTION]: I try to discern its function.,output: [CHECK]: Arcana
input:  [ACTION]: I think hard about the riddle's meaning.,output: [CHECK]: Intelligence
input:  [ACTION]: I think hard about the riddle's meaning.,output: [CHECK]: Intelligence
input:  [ACTION]: I carefully make my way across the bridge.,output: [CHECK]: Acrobatics
input:  [ACTION]: I carefully make my way across the bridge.,output: [CHECK]: Acrobatics
"input:  [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor.",output: [CHECK]: Performance
"input:  [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor.",output: [CHECK]: Performance
input:  [ACTION]: I try to bluff my way through the conversation.,output: [CHECK]: Deception
input:  [ACTION]: I try to bluff my way through the conversation.,output: [CHECK]: Deception
input:  [ACTION]: I use my healer's kit to bandage their wounds.,output: [CHECK]: Medicine
input:  [ACTION]: I use my healer's kit to bandage their wounds.,output: [CHECK]: Medicine
input:  [ACTION]: I attempt to calm the animal using gentle words and gestures.,output: [CHECK]: Animal Handling
input:  [ACTION]: I attempt to calm the animal using gentle words and gestures.,output: [CHECK]: Animal Handling
input:  [ACTION]: I look for signs of which path is least affected by the blight.,output: [CHECK]: Survival
input:  [ACTION]: I look for signs of which path is least affected by the blight.,output: [CHECK]: Survival
input:  [ACTION]: I try to recall the symbol from my time on the streets.,output: [CHECK]: History
input:  [ACTION]: I try to recall the symbol from my time on the streets.,output: [CHECK]: History
input:  [ACTION]: I use my raw strength to try and beat him.,output: [CHECK]: Athletics
input:  [ACTION]: I use my raw strength to try and beat him.,output: [CHECK]: Athletics
input:  [ACTION]: I try to withstand the effects of the poison through sheer resilience.,output: [CHECK]: Constitution
input:  [ACTION]: I try to withstand the effects of the poison through sheer resilience.,output: [CHECK]: Constitution
input:  [ACTION]: I quickly put on the disguise.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I quickly put on the disguise.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I ask my deity to show me the way forward.,output: [CHECK]: Religion
input:  [ACTION]: I ask my deity to show me the way forward.,output: [CHECK]: Religion
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I look for a safe place to cross the river.,output: [CHECK]: Survival
input:  [ACTION]: I look for a safe place to cross the river.,output: [CHECK]: Survival
input:  [ACTION]: I inspect the tracks to identify the creature.,output: [CHECK]: Nature
input:  [ACTION]: I inspect the tracks to identify the creature.,output: [CHECK]: Nature
input:  [ACTION]: I ready my bow and try to move silently towards the sound.,output: [CHECK]: Stealth
input:  [ACTION]: I ready my bow and try to move silently towards the sound.,output: [CHECK]: Stealth
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I ask my otherworldly patron what this spirit is.,output: [CHECK]: Pact Magic
input:  [ACTION]: I ask my otherworldly patron what this spirit is.,output: [CHECK]: Pact Magic
input:  [ACTION]: I use my pact-given knowledge to translate the text.,output: [CHECK]: History
input:  [ACTION]: I use my pact-given knowledge to translate the text.,output: [CHECK]: History
input:  [ACTION]: I try to scare him off by showing him a glimpse of my patron's power.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to scare him off by showing him a glimpse of my patron's power.,output: [CHECK]: Intimidation
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I try to determine if the Baron is being deceptive.,output: [CHECK]: Insight
input:  [ACTION]: I try to determine if the Baron is being deceptive.,output: [CHECK]: Insight
input:  [ACTION]: I stand and publicly admonish the jester for his lack of honor.,output: [CHECK]: Persuasion
input:  [ACTION]: I stand and publicly admonish the jester for his lack of honor.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I check the water for any hidden dangers before entering.,output: [CHECK]: Perception
input:  [ACTION]: I check the water for any hidden dangers before entering.,output: [CHECK]: Perception
input:  [ACTION]: I throw the stone with all my might.,output: [CHECK]: Athletics
input:  [ACTION]: I throw the stone with all my might.,output: [CHECK]: Athletics
input:  [ACTION]: I try to identify the potion and its intended effects.,output: [CHECK]: Arcana
input:  [ACTION]: I try to identify the potion and its intended effects.,output: [CHECK]: Arcana
"input:  [ACTION]: I compose a short, flattering song about the guard's heroic vigil.",output: [CHECK]: Performance
"input:  [ACTION]: I compose a short, flattering song about the guard's heroic vigil.",output: [CHECK]: Performance
input:  [ACTION]: I brace myself to keep my footing.,output: [CHECK]: Dexterity
input:  [ACTION]: I brace myself to keep my footing.,output: [CHECK]: Dexterity
input:  [ACTION]: I try to calm the wolf and tend to its wounds.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to calm the wolf and tend to its wounds.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to sense if the imp is trying to magically swindle me.,output: [CHECK]: Insight
input:  [ACTION]: I try to sense if the imp is trying to magically swindle me.,output: [CHECK]: Insight
"input:  [ACTION]: I resist their interrogation, holding true to my oath.",output: [CHECK]: Constitution
"input:  [ACTION]: I resist their interrogation, holding true to my oath.",output: [CHECK]: Constitution
input:  [ACTION]: I continue to move carefully along the ledge.,output: [CHECK]: Acrobatics
input:  [ACTION]: I continue to move carefully along the ledge.,output: [CHECK]: Acrobatics
input:  [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape.,output: [CHECK]: Athletics
input:  [ACTION]: I study the tapestry to understand the historical context of the battle.,output: [CHECK]: History
input:  [ACTION]: I study the tapestry to understand the historical context of the battle.,output: [CHECK]: History
input:  [ACTION]: I try to recall the ancient song.,output: [CHECK]: Performance
input:  [ACTION]: I try to recall the ancient song.,output: [CHECK]: Performance
input:  [ACTION]: I step between them and call for peace in the name of the Sun God.,output: [CHECK]: Persuasion
input:  [ACTION]: I step between them and call for peace in a God's name.,output: [CHECK]: Persuasion
input:  [ACTION]: I watch their patrol patterns to determine the best time to sneak in.,output: [CHECK]: Investigation
input:  [ACTION]: I watch their patrol patterns to determine the best time to sneak in.,output: [CHECK]: Investigation
input:  [ACTION]: I try to convince the magistrate that I am innocent of any crime.,output: [CHECK]: Deception
input:  [ACTION]: I try to convince the magistrate that I am innocent of any crime.,output: [CHECK]: Deception
input:  [ACTION]: I urge my horse to jump over the log.,output: [CHECK]: Animal Handling
input:  [ACTION]: I urge my horse to jump over the log.,output: [CHECK]: Animal Handling
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
"input:  [ACTION]: I attempt to disarm him using swift, non-lethal strikes.",output: [CHECK]: Sleight of Hand
"input:  [ACTION]: I attempt to disarm him using swift, non-lethal strikes.",output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.,output: [CHECK]: Medicine
input:  [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.,output: [CHECK]: Medicine
input:  [ACTION]: [SCENE_START],output: [CHECK]: None
input:  [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape.,output: [CHECK]: Nature
input:  [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape.,output: [CHECK]: Nature
input:  [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I look for the trigger mechanism for the magical traps.,output: [CHECK]: Investigation
input:  [ACTION]: I look for the trigger mechanism for the magical traps.,output: [CHECK]: Investigation
input:  [ACTION]: I try to give my testimony as clearly as possible.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to give my testimony as clearly as possible.,output: [CHECK]: Persuasion
input:  [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses.,output: [CHECK]: History
input:  [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses.,output: [CHECK]: History
input:  [ACTION]: I attempt to solve the riddle.,output: [CHECK]: Intelligence
input:  [ACTION]: I attempt to solve the riddle.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague.,output: [CHECK]: Medicine
input:  [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague.,output: [CHECK]: Medicine
input:  [ACTION]: I scan the horizon for any signs of an oasis or water source.,output: [CHECK]: Survival
input:  [ACTION]: I scan the horizon for any signs of an oasis or water source.,output: [CHECK]: Survival
input:  [ACTION]: I look for someone who seems out of place or shows signs of a dark pact.,output: [CHECK]: Insight
input:  [ACTION]: I look for someone who seems out of place or shows signs of a dark pact.,output: [CHECK]: Insight
input:  [ACTION]: I leap from one rooftop to the next in pursuit.,output: [CHECK]: Athletics
input:  [ACTION]: I leap from one rooftop to the next in pursuit.,output: [CHECK]: Athletics
input:  [ACTION]: I try to maintain my balance as I cross.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to maintain my balance as I cross.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to sneak past the sleeping bear.,output: [CHECK]: Stealth
input:  [ACTION]: I try to sneak past the sleeping bear.,output: [CHECK]: Stealth
input:  [ACTION]: I use my forgery kit to replicate the seal.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I use my forgery kit to replicate the seal.,output: [CHECK]: Forgery Kit
input:  [ACTION]: I try to intimidate the chieftain into accepting our terms.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to intimidate the chieftain into accepting our terms.,output: [CHECK]: Intimidation
input:  [ACTION]: I attempt to disarm the magical trap.,output: [CHECK]: Arcana
input:  [ACTION]: I attempt to disarm the magical trap.,output: [CHECK]: Arcana
input:  [ACTION]: I tell him a heroic and inspiring story about the potential discoveries.,output: [CHECK]: Performance
input:  [ACTION]: I tell him a heroic and inspiring story about the potential discoveries.,output: [CHECK]: Performance
input:  [ACTION]: I meditate and search my memory for the passage.,output: [CHECK]: Religion
input:  [ACTION]: I meditate and search my memory for the passage.,output: [CHECK]: Religion
input:  [ACTION]: I dive into the water to rescue the child.,output: [CHECK]: Athletics
input:  [ACTION]: I dive into the water to rescue the child.,output: [CHECK]: Athletics
input:  [ACTION]: I try to discern if there is any residual divine magic left in the statue.,output: [CHECK]: Religion
input:  [ACTION]: I try to discern if there is any residual divine magic left in the statue.,output: [CHECK]: Religion
"input:  [ACTION]: I speak in my own defense, appealing to the court's sense of justice.",output: [CHECK]: Persuasion
"input:  [ACTION]: I speak in my own defense, appealing to the court's sense of justice.",output: [CHECK]: Persuasion
input:  [ACTION]: I try to deflect the arrows with my open hands.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to deflect the arrows with my open hands.,output: [CHECK]: Acrobatics
input:  [ACTION]: I use my knowledge of nature to see if it's poisonous.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of nature to see if it's poisonous.,output: [CHECK]: Nature
input:  [ACTION]: I try to find shelter from the oppressive heat.,output: [CHECK]: Survival
input:  [ACTION]: I try to find shelter from the oppressive heat.,output: [CHECK]: Survival
input:  [ACTION]: I try to brace the mast with my raw strength.,output: [CHECK]: Athletics
input:  [ACTION]: I try to brace the mast with my raw strength.,output: [CHECK]: Athletics
input:  [ACTION]: I explain the principles of elemental magic to the court.,output: [CHECK]: Arcana
input:  [ACTION]: I explain the principles of elemental magic to the court.,output: [CHECK]: Arcana
"input:  [ACTION]: I try to flatter the dragon, complimenting the luster of its scales.",output: [CHECK]: Persuasion
"input:  [ACTION]: I try to flatter the dragon, complimenting the luster of its scales.",output: [CHECK]: Persuasion
input:  [ACTION]: I approach the creature cautiously and attempt to mend its wing with healing magic.,output: [CHECK]: Animal Handling
input:  [ACTION]: I approach the creature cautiously and attempt to mend its wing with healing magic.,output: [CHECK]: Animal Handling
input:  [ACTION]: I ask the old sailors at the docks if they've seen the creature.,output: [CHECK]: Investigation
