input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The market is a whirlwind of sights and sounds. Merchants hawk their wares, children chase pigeons, and the smell of spiced meat and fresh bread fills the air."
input:  [ACTION]: I attempt to lift the coin purse from the merchant's belt. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers move like whispers. The coin purse is in your hand in a flash, and the merchant is none the wiser. You slip back into the crowd."
input:  [ACTION]: I attempt to lift the coin purse from the merchant's belt. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: As your fingers touch the purse, the merchant shifts his weight. His hand clamps down on your wrist like a vice. 'Thief!' he bellows."
"input:  [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'. [CHECK]: Persuasion [PASS/FAIL]: Pass",output: [OUTCOME]: The bartender leans in conspiratorially. 'I heard a treasure hunter took a map leading to it into the Shadowfen Crypts. Never saw him again.'
"input:  [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'. [CHECK]: Persuasion [PASS/FAIL]: Fail","output: [OUTCOME]: The bartender scoffs, 'Fairy tales. Daggers don't have names. Now, are you going to order something or just stand there?'"
input:  [ACTION]: I check the door for traps. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your experienced eyes spot a thin tripwire near the bottom of the door, connected to a small dart mechanism on the wall."
input:  [ACTION]: I check the door for traps. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The door seems old and heavy, but you don't notice anything out of the ordinary about it."
input:  [ACTION]: I try to jump across the chasm. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You get a running start and leap gracefully, landing softly on the other side with room to spare."
input:  [ACTION]: I try to jump across the chasm. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: You misjudge the distance. Your feet slip on the edge, and you tumble into the darkness below."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The wind howls like a hungry wolf, and the snow is so thick you can barely see your hand in front of your face. It is dangerously cold."
input:  [ACTION]: I attempt to climb the icy cliff. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You find purchase for your hands and feet in the ice, pulling your powerful frame up the cliff face with grim determination."
input:  [ACTION]: I attempt to climb the icy cliff. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The ice is too slick. Your grip fails, and you slide back down to the bottom, the cold biting at your skin."
input:  [ACTION]: I let out a fearsome roar to try and scare it away. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your bestial roar echoes in the pass, startling the owl. It changes its course and flies off into the blizzard."
input:  [ACTION]: I let out a fearsome roar to try and scare it away. [CHECK]: Intimidation [PASS/FAIL]: Fail,"output: [OUTCOME]: The owl seems only angered further by your shout. It descends upon you, talons extended."
input:  [ACTION]: I offer the traveler my spare fur cloak. [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The traveler looks up with grateful eyes, accepting the cloak and wrapping it tightly around their shoulders. 'Thank you,' they rasp."
input:  [ACTION]: I listen carefully to determine the source of the sound. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your hearing, filtering out the wind. The sound is rhythmic... like claws scraping on stone. It's close."
input:  [ACTION]: I listen carefully to determine the source of the sound. [CHECK]: Perception [PASS/FAIL]: Fail,"output: [OUTCOME]: The wind outside is too loud, and the scratching is too faint. You can't pinpoint its location or cause."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: Sunlight streams through a crack in the ceiling, illuminating floating dust motes. The silence is profound, broken only by your own breathing. The air smells of paper and decay."
input:  [ACTION]: I try to decipher the arcane lock. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the symbols as a variant of the Abyssal Cipher. After a moment of concentration, you trace the correct pattern, and the lock clicks open."
