input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The market is a whirlwind of sights and sounds. Merchants hawk their wares, children chase pigeons, and the smell of spiced meat and fresh bread fills the air."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers move like whispers. The coin purse is in your hand in a flash, and the merchant is none the wiser. You slip back into the crowd."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: As your fingers touch the purse, the merchant shifts his weight. His hand clamps down on your wrist like a vice. 'Thief!' he bellows."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: The bartender leans in conspiratorially. 'I heard a treasure hunter took a map leading to it into the Shadowfen Crypts. Never saw him again.'
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The bartender scoffs, 'Fairy tales. Daggers don't have names. Now, are you going to order something or just stand there?'"
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: Your experienced eyes spot a thin tripwire near the bottom of the door, connected to a small dart mechanism on the wall."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The door seems old and heavy, but you don't notice anything out of the ordinary about it."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You get a running start and leap gracefully, landing softly on the other side with room to spare."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: You misjudge the distance. Your feet slip on the edge, and you tumble into the darkness below."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The wind howls like a hungry wolf, and the snow is so thick you can barely see your hand in front of your face. It is dangerously cold."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You find purchase for your hands and feet in the ice, pulling your powerful frame up the cliff face with grim determination."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The ice is too slick. Your grip fails, and you slide back down to the bottom, the cold biting at your skin."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: Your bestial roar echoes in the pass, startling the owl. It changes its course and flies off into the blizzard."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: The owl seems only angered further by your shout. It descends upon you, talons extended."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The traveler looks up with grateful eyes, accepting the cloak and wrapping it tightly around their shoulders. 'Thank you,' they rasp."
