input,output
"['player_id', 'character_backstory', 'scene_context', 'player_input']","['check_required', 'outcome_type', 'outcome_description']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are standing in the crowded central market of the city of Silverwood.', '[SCENE_START]']","['None', 'N/A', 'The market is a whirlwind of sights and sounds. Merchants hawk their wares, children chase pigeons, and the smell of spiced meat and fresh bread fills the air.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer.', ""I attempt to lift the coin purse from the merchant's belt.""]","['Sleight of Hand', 'Pass', 'Your fingers move like whispers. The coin purse is in your hand in a flash, and the merchant is none the wiser. You slip back into the crowd.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer.', ""I attempt to lift the coin purse from the merchant's belt.""]","['Sleight of Hand', 'Fail', ""As your fingers touch the purse, the merchant shifts his weight. His hand clamps down on your wrist like a vice. 'Thief!' he bellows.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You are in a dimly lit tavern called 'The Tipsy Flagon'."", ""I ask the bartender for rumors about the lost dagger, 'Heartspike'.""]","['Persuasion', 'Pass', ""The bartender leans in conspiratorially. 'I heard a treasure hunter took a map leading to it into the Shadowfen Crypts. Never saw him again.'""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You are in a dimly lit tavern called 'The Tipsy Flagon'."", ""I ask the bartender for rumors about the lost dagger, 'Heartspike'.""]","['Persuasion', 'Fail', ""The bartender scoffs, 'Fairy tales. Daggers don't have names. Now, are you going to order something or just stand there?'""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss.', 'I check the door for traps.']","['Investigation', 'Pass', 'Your experienced eyes spot a thin tripwire near the bottom of the door, connected to a small dart mechanism on the wall.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss.', 'I check the door for traps.']","['Investigation', 'Fail', ""The door seems old and heavy, but you don't notice anything out of the ordinary about it.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are inside a dark crypt. A wide chasm blocks your path.', 'I try to jump across the chasm.']","['Acrobatics', 'Pass', 'You get a running start and leap gracefully, landing softly on the other side with room to spare.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are inside a dark crypt. A wide chasm blocks your path.', 'I try to jump across the chasm.']","['Acrobatics', 'Fail', 'You misjudge the distance. Your feet slip on the edge, and you tumble into the darkness below.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are trekking through a blizzard in the Frostjaw Pass.', '[SCENE_START]']","['None', 'N/A', 'The wind howls like a hungry wolf, and the snow is so thick you can barely see your hand in front of your face. It is dangerously cold.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall.', 'I attempt to climb the icy cliff.']","['Athletics', 'Pass', 'You find purchase for your hands and feet in the ice, pulling your powerful frame up the cliff face with grim determination.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall.', 'I attempt to climb the icy cliff.']","['Athletics', 'Fail', 'The ice is too slick. Your grip fails, and you slide back down to the bottom, the cold biting at your skin.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'A giant snow owl, angered by your presence, swoops down from the sky.', 'I let out a fearsome roar to try and scare it away.']","['Intimidation', 'Pass', 'Your bestial roar echoes in the pass, startling the owl. It changes its course and flies off into the blizzard.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'A giant snow owl, angered by your presence, swoops down from the sky.', 'I let out a fearsome roar to try and scare it away.']","['Intimidation', 'Fail', 'The owl seems only angered further by your shout. It descends upon you, talons extended.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You find a half-frozen traveler huddled in a small cave, shivering.', 'I offer the traveler my spare fur cloak.']","['None', 'N/A', ""The traveler looks up with grateful eyes, accepting the cloak and wrapping it tightly around their shoulders. 'Thank you,' they rasp.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within.', 'I listen carefully to determine the source of the sound.']","['Perception', 'Pass', ""You focus your hearing, filtering out the wind. The sound is rhythmic... like claws scraping on stone. It's close.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within.', 'I listen carefully to determine the source of the sound.']","['Perception', 'Fail', ""The wind outside is too loud, and the scratching is too faint. You can't pinpoint its location or cause.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are in the lost library of Aeridor, surrounded by dusty tomes and crumbling scrolls.', '[SCENE_START]']","['None', 'N/A', 'Sunlight streams through a crack in the ceiling, illuminating floating dust motes. The silence is profound, broken only by your own breathing. The air smells of paper and decay.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock.', 'I try to decipher the arcane lock.']","['Arcana', 'Pass', 'You recognize the symbols as a variant of the Abyssal Cipher. After a moment of concentration, you trace the correct pattern, and the lock clicks open.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock.', 'I try to decipher the arcane lock.']","['Arcana', 'Fail', ""The runes are unlike anything you've ever seen. Your attempts to manipulate the magical energies of the lock result in a harmless but bright flash of pink light. The lock remains sealed.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks.', ""I try to reason with the spirit, explaining I'm here to preserve its knowledge.""]","['Persuasion', 'Pass', 'The spirit lowers its hand, its expression softening from anger to sorrow. It nods slowly, gesturing for you to continue your work, but to be respectful.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks.', ""I try to reason with the spirit, explaining I'm here to preserve its knowledge.""]","['Persuasion', 'Fail', 'The spirit is beyond reason. Your words do nothing to soothe it. It lets out another shriek and flies towards you, intent on driving you out.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You find a section of the wall that looks different from the surrounding stone.', 'I examine the wall for secret passages.']","['Investigation', 'Pass', 'Your fingers trace the outline of the stones. You press one, and a section of the bookshelf grinds open, revealing a hidden chamber.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You find a section of the wall that looks different from the surrounding stone.', 'I examine the wall for secret passages.']","['Investigation', 'Fail', 'You spend several minutes examining the wall, but it seems to be just solid stone. Perhaps it was just a trick of the light.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are reading a powerful scroll you found.', 'I attempt to memorize the spell written on the scroll.']","['Intelligence', 'Pass', 'You focus your mind, and the complex magical formula settles into your memory. You have successfully learned a new spell.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are reading a powerful scroll you found.', 'I attempt to memorize the spell written on the scroll.']","['Intelligence', 'Fail', 'The magic is too powerful or too complex. As you try to grasp it, the words seem to slip from your mind like water. The spell is not learned.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are performing on a stage in the center of a bustling town square.', 'I try to win over the crowd with a lively song.']","['Performance', 'Pass', 'Your music is infectious! The crowd claps and cheers, and a shower of coins lands on the stage at your feet.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are performing on a stage in the center of a bustling town square.', 'I try to win over the crowd with a lively song.']","['Performance', 'Fail', 'You hit a sour note on your lute, and the song falls flat. The crowd seems unimpressed, and a few people even begin to boo.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', ""After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.'"", 'I try to talk my way out of the fine with a charming smile and a silver tongue.']","['Deception', 'Pass', ""You spin a tale about performing for a noble's sick child. The guard softens. 'Alright, just... don't let me see you here again without a permit.'""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', ""After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.'"", 'I try to talk my way out of the fine with a charming smile and a silver tongue.']","['Deception', 'Fail', ""The guard is unmoved by your charm. 'I've heard it all before. Pay the 10 gold fine, or you'll spend the night in the cells.'""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are in the royal court, speaking with a pompous Duke who holds a key you need.', 'I flatter the Duke, complimenting his impeccable fashion sense.']","['Persuasion', 'Pass', ""The Duke puffs out his chest, beaming with pride. 'Ah, an eye for quality! You are a man of taste. What was it you needed again?'""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are in the royal court, speaking with a pompous Duke who holds a key you need.', 'I flatter the Duke, complimenting his impeccable fashion sense.']","['Persuasion', 'Fail', ""The Duke sneers. 'Do not try your cheap flattery on me, peasant. State your business and be gone.'""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to gather information in a tavern.', 'I listen in on the conversations around me.']","['Perception', 'Pass', ""You overhear a pair of merchants talking about a recent caravan ambush on the North Road. They mention the 'Red Fang' goblins.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to gather information in a tavern.', 'I listen in on the conversations around me.']","['Perception', 'Fail', ""The tavern is too loud, filled with drunken singing and laughter. You can't make out any specific conversations.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You have arrived in the village of Greyhollow, which lies under a perpetual twilight.', '[SCENE_START]']","['None', 'N/A', 'The village is unnaturally quiet. The buildings are dilapidated, and the few villagers you see hurry along the streets, avoiding your gaze. A sickly grey fog clings to the ground.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a villager whose child is suffering from a strange, magical illness.', 'I use my divine magic to try and heal the child.']","['Medicine', 'Pass', 'You channel the power of your deity. A warm, golden light envelops the child, and the sickly pallor fades from their skin. Their breathing evens out.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a villager whose child is suffering from a strange, magical illness.', 'I use my divine magic to try and heal the child.']","['Medicine', 'Fail', 'You channel your energy, but the blight is too strong or of a nature unknown to you. Your magic has no effect on the illness.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are investigating the desecrated village temple. You see an unholy symbol painted on the altar.', 'I try to identify the symbol.']","['Religion', 'Pass', 'You recognize the symbol immediately. It is the mark of a powerful shadow demon, one known for corrupting the land itself.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are investigating the desecrated village temple. You see an unholy symbol painted on the altar.', 'I try to identify the symbol.']","['Religion', 'Fail', 'The symbol is crude and alien to you. While clearly unholy, you do not recognize the specific entity or cult it represents.']"
