input: [SCENE]: scene_context [ACTION]: player_input,output: [CHECK]: check_required
input: [SCENE]: You are standing in the crowded central market of the city of Silverwood. [ACTION]: [SCENE_START],output: [CHECK]: None
input: [SCENE]: You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer. [ACTION]: I attempt to lift the coin purse from the merchant's belt.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer. [ACTION]: I attempt to lift the coin purse from the merchant's belt.,output: [CHECK]: Sleight of Hand
"input: [SCENE]: You are in a dimly lit tavern called 'The Tipsy Flagon'. [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'.",output: [CHECK]: Persuasion
"input: [SCENE]: You are in a dimly lit tavern called 'The Tipsy Flagon'. [ACTION]: I ask the bartender for rumors about the lost dagger, 'Heartspike'.",output: [CHECK]: Persuasion
input: [SCENE]: You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss. [ACTION]: I check the door for traps.,output: [CHECK]: Investigation
input: [SCENE]: You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss. [ACTION]: I check the door for traps.,output: [CHECK]: Investigation
input: [SCENE]: You are inside a dark crypt. A wide chasm blocks your path. [ACTION]: I try to jump across the chasm.,output: [CHECK]: Acrobatics
input: [SCENE]: You are inside a dark crypt. A wide chasm blocks your path. [ACTION]: I try to jump across the chasm.,output: [CHECK]: Acrobatics
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass. [ACTION]: [SCENE_START],output: [CHECK]: None
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall. [ACTION]: I attempt to climb the icy cliff.,output: [CHECK]: Athletics
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall. [ACTION]: I attempt to climb the icy cliff.,output: [CHECK]: Athletics
"input: [SCENE]: A giant snow owl, angered by your presence, swoops down from the sky. [ACTION]: I let out a fearsome roar to try and scare it away.",output: [CHECK]: Intimidation
"input: [SCENE]: A giant snow owl, angered by your presence, swoops down from the sky. [ACTION]: I let out a fearsome roar to try and scare it away.",output: [CHECK]: Intimidation
"input: [SCENE]: You find a half-frozen traveler huddled in a small cave, shivering. [ACTION]: I offer the traveler my spare fur cloak.",output: [CHECK]: None
"input: [SCENE]: You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within. [ACTION]: I listen carefully to determine the source of the sound.",output: [CHECK]: Perception
"input: [SCENE]: You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within. [ACTION]: I listen carefully to determine the source of the sound.",output: [CHECK]: Perception
"input: [SCENE]: You are in the lost library of Aeridor, surrounded by dusty tomes and crumbling scrolls. [ACTION]: [SCENE_START]",output: [CHECK]: None
"input: [SCENE]: You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock. [ACTION]: I try to decipher the arcane lock.",output: [CHECK]: Arcana
"input: [SCENE]: You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock. [ACTION]: I try to decipher the arcane lock.",output: [CHECK]: Arcana
"input: [SCENE]: A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks. [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge.",output: [CHECK]: Persuasion
"input: [SCENE]: A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks. [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge.",output: [CHECK]: Persuasion
input: [SCENE]: You find a section of the wall that looks different from the surrounding stone. [ACTION]: I examine the wall for secret passages.,output: [CHECK]: Investigation
input: [SCENE]: You find a section of the wall that looks different from the surrounding stone. [ACTION]: I examine the wall for secret passages.,output: [CHECK]: Investigation
input: [SCENE]: You are reading a powerful scroll you found. [ACTION]: I attempt to memorize the spell written on the scroll.,output: [CHECK]: Intelligence
input: [SCENE]: You are reading a powerful scroll you found. [ACTION]: I attempt to memorize the spell written on the scroll.,output: [CHECK]: Intelligence
input: [SCENE]: You are performing on a stage in the center of a bustling town square. [ACTION]: I try to win over the crowd with a lively song.,output: [CHECK]: Performance
input: [SCENE]: You are performing on a stage in the center of a bustling town square. [ACTION]: I try to win over the crowd with a lively song.,output: [CHECK]: Performance
"input: [SCENE]: After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.' [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue.",output: [CHECK]: Deception
"input: [SCENE]: After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.' [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue.",output: [CHECK]: Deception
"input: [SCENE]: You are in the royal court, speaking with a pompous Duke who holds a key you need. [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense.",output: [CHECK]: Persuasion
"input: [SCENE]: You are in the royal court, speaking with a pompous Duke who holds a key you need. [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense.",output: [CHECK]: Persuasion
input: [SCENE]: You are trying to gather information in a tavern. [ACTION]: I listen in on the conversations around me.,output: [CHECK]: Perception
input: [SCENE]: You are trying to gather information in a tavern. [ACTION]: I listen in on the conversations around me.,output: [CHECK]: Perception
"input: [SCENE]: You have arrived in the village of Greyhollow, which lies under a perpetual twilight. [ACTION]: [SCENE_START]",output: [CHECK]: None
"input: [SCENE]: You find a villager whose child is suffering from a strange, magical illness. [ACTION]: I use my divine magic to try and heal the child.",output: [CHECK]: Medicine
"input: [SCENE]: You find a villager whose child is suffering from a strange, magical illness. [ACTION]: I use my divine magic to try and heal the child.",output: [CHECK]: Medicine
input: [SCENE]: You are investigating the desecrated village temple. You see an unholy symbol painted on the altar. [ACTION]: I try to identify the symbol.,output: [CHECK]: Religion
input: [SCENE]: You are investigating the desecrated village temple. You see an unholy symbol painted on the altar. [ACTION]: I try to identify the symbol.,output: [CHECK]: Religion
"input: [SCENE]: A fearful villager is refusing to tell you about the source of the blight. [ACTION]: I try to reassure him, promising the Sun God's protection.",output: [CHECK]: Persuasion
"input: [SCENE]: A fearful villager is refusing to tell you about the source of the blight. [ACTION]: I try to reassure him, promising the Sun God's protection.",output: [CHECK]: Persuasion
input: [SCENE]: You are in the blighted manor. You feel a palpable sense of dread and evil. [ACTION]: I can feel the evil here. I want to know where it's strongest.,output: [CHECK]: Divine Sense
input: [SCENE]: You are in the blighted manor. You feel a palpable sense of dread and evil. [ACTION]: I can feel the evil here. I want to know where it's strongest.,output: [CHECK]: Divine Sense
input: [SCENE]: You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway. [ACTION]: I attempt to sneak past the guard.,output: [CHECK]: Stealth
input: [SCENE]: You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway. [ACTION]: I attempt to sneak past the guard.,output: [CHECK]: Stealth
"input: [SCENE]: You have found the mansion's safe, but it is locked. [ACTION]: I use my thieves' tools to pick the lock.",output: [CHECK]: Thieves' Tools
"input: [SCENE]: You have found the mansion's safe, but it is locked. [ACTION]: I use my thieves' tools to pick the lock.",output: [CHECK]: Thieves' Tools
input: [SCENE]: You are facing a rival warrior who is taunting you. [ACTION]: I ignore his taunts and ready my axe.,output: [CHECK]: Wisdom
input: [SCENE]: You are facing a rival warrior who is taunting you. [ACTION]: I ignore his taunts and ready my axe.,output: [CHECK]: Wisdom
input: [SCENE]: You come across strange tracks in the snow. [ACTION]: I try to identify what kind of creature made these tracks.,output: [CHECK]: Survival
input: [SCENE]: You come across strange tracks in the snow. [ACTION]: I try to identify what kind of creature made these tracks.,output: [CHECK]: Survival
input: [SCENE]: A heavy boulder blocks the entrance to a cave you need to enter. [ACTION]: I try to push the boulder out of the way.,output: [CHECK]: Athletics
input: [SCENE]: A heavy boulder blocks the entrance to a cave you need to enter. [ACTION]: I try to push the boulder out of the way.,output: [CHECK]: Athletics
input: [SCENE]: You are wading through a swamp. [ACTION]: I try to remember what my books said about the native creatures here.,output: [CHECK]: Nature
input: [SCENE]: You are wading through a swamp. [ACTION]: I try to remember what my books said about the native creatures here.,output: [CHECK]: Nature
input: [SCENE]: You see a magical glyph glowing on the floor ahead. [ACTION]: I try to discern its function.,output: [CHECK]: Arcana
input: [SCENE]: You see a magical glyph glowing on the floor ahead. [ACTION]: I try to discern its function.,output: [CHECK]: Arcana
input: [SCENE]: A talking statue gives you a riddle to solve. [ACTION]: I think hard about the riddle's meaning.,output: [CHECK]: Intelligence
input: [SCENE]: A talking statue gives you a riddle to solve. [ACTION]: I think hard about the riddle's meaning.,output: [CHECK]: Intelligence
input: [SCENE]: You are trying to cross a rickety rope bridge over a canyon. [ACTION]: I carefully make my way across the bridge.,output: [CHECK]: Acrobatics
input: [SCENE]: You are trying to cross a rickety rope bridge over a canyon. [ACTION]: I carefully make my way across the bridge.,output: [CHECK]: Acrobatics
"input: [SCENE]: You need to create a distraction to help a friend escape. [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor.",output: [CHECK]: Performance
"input: [SCENE]: You need to create a distraction to help a friend escape. [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor.",output: [CHECK]: Performance
