input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are standing in the crowded central market of the city of Silverwood.,"output: [OUTCOME]: The market is a whirlwind of sights and sounds. Merchants hawk their wares, children chase pigeons, and the smell of spiced meat and fresh bread fills the air."
input: [SCENE]: You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer.,"output: [OUTCOME]: Your fingers move like whispers. The coin purse is in your hand in a flash, and the merchant is none the wiser. You slip back into the crowd."
input: [SCENE]: You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer.,"output: [OUTCOME]: As your fingers touch the purse, the merchant shifts his weight. His hand clamps down on your wrist like a vice. 'Thief!' he bellows."
input: [SCENE]: You are in a dimly lit tavern called 'The Tipsy Flagon'.,output: [OUTCOME]: The bartender leans in conspiratorially. 'I heard a treasure hunter took a map leading to it into the Shadowfen Crypts. Never saw him again.'
input: [SCENE]: You are in a dimly lit tavern called 'The Tipsy Flagon'.,"output: [OUTCOME]: The bartender scoffs, 'Fairy tales. Daggers don't have names. Now, are you going to order something or just stand there?'"
input: [SCENE]: You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss.,"output: [OUTCOME]: Your experienced eyes spot a thin tripwire near the bottom of the door, connected to a small dart mechanism on the wall."
input: [SCENE]: You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss.,"output: [OUTCOME]: The door seems old and heavy, but you don't notice anything out of the ordinary about it."
input: [SCENE]: You are inside a dark crypt. A wide chasm blocks your path.,"output: [OUTCOME]: You get a running start and leap gracefully, landing softly on the other side with room to spare."
input: [SCENE]: You are inside a dark crypt. A wide chasm blocks your path.,"output: [OUTCOME]: You misjudge the distance. Your feet slip on the edge, and you tumble into the darkness below."
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass.,"output: [OUTCOME]: The wind howls like a hungry wolf, and the snow is so thick you can barely see your hand in front of your face. It is dangerously cold."
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall.,"output: [OUTCOME]: You find purchase for your hands and feet in the ice, pulling your powerful frame up the cliff face with grim determination."
input: [SCENE]: You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall.,"output: [OUTCOME]: The ice is too slick. Your grip fails, and you slide back down to the bottom, the cold biting at your skin."
"input: [SCENE]: A giant snow owl, angered by your presence, swoops down from the sky.","output: [OUTCOME]: Your bestial roar echoes in the pass, startling the owl. It changes its course and flies off into the blizzard."
"input: [SCENE]: A giant snow owl, angered by your presence, swoops down from the sky.","output: [OUTCOME]: The owl seems only angered further by your shout. It descends upon you, talons extended."
"input: [SCENE]: You find a half-frozen traveler huddled in a small cave, shivering.","output: [OUTCOME]: The traveler looks up with grateful eyes, accepting the cloak and wrapping it tightly around their shoulders. 'Thank you,' they rasp."
