"input: player_id, character_backstory, scene_context, player_input","output: check_required, outcome_type"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are standing in the crowded central market of the city of Silverwood., [SCENE_START]","output: None, N/A"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer., I attempt to lift the coin purse from the merchant's belt.","output: Sleight of Hand, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the crowded central market of Silverwood. A portly merchant with a large coin purse is distracted by a customer., I attempt to lift the coin purse from the merchant's belt.","output: Sleight of Hand, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in a dimly lit tavern called 'The Tipsy Flagon'., I ask the bartender for rumors about the lost dagger, 'Heartspike'.","output: Persuasion, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in a dimly lit tavern called 'The Tipsy Flagon'., I ask the bartender for rumors about the lost dagger, 'Heartspike'.","output: Persuasion, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss., I check the door for traps.","output: Investigation, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are standing before the entrance to the Shadowfen Crypts. The stone door is covered in moss., I check the door for traps.","output: Investigation, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are inside a dark crypt. A wide chasm blocks your path., I try to jump across the chasm.","output: Acrobatics, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are inside a dark crypt. A wide chasm blocks your path., I try to jump across the chasm.","output: Acrobatics, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are trekking through a blizzard in the Frostjaw Pass., [SCENE_START]","output: None, N/A"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall., I attempt to climb the icy cliff.","output: Athletics, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are trekking through a blizzard in the Frostjaw Pass. You come to an icy cliff wall., I attempt to climb the icy cliff.","output: Athletics, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., A giant snow owl, angered by your presence, swoops down from the sky., I let out a fearsome roar to try and scare it away.","output: Intimidation, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., A giant snow owl, angered by your presence, swoops down from the sky., I let out a fearsome roar to try and scare it away.","output: Intimidation, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You find a half-frozen traveler huddled in a small cave, shivering., I offer the traveler my spare fur cloak.","output: None, N/A"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within., I listen carefully to determine the source of the sound.","output: Perception, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are inside a cave. The air is still, but you hear a faint scratching sound from deeper within., I listen carefully to determine the source of the sound.","output: Perception, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are in the lost library of Aeridor, surrounded by dusty tomes and crumbling scrolls., [SCENE_START]","output: None, N/A"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock., I try to decipher the arcane lock.","output: Arcana, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are in the lost library of Aeridor. You find a large, leather-bound book with a complex arcane lock., I try to decipher the arcane lock.","output: Arcana, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks., I try to reason with the spirit, explaining I'm here to preserve its knowledge.","output: Persuasion, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., A spectral librarian appears, looking angry. It points a ghostly finger at you and shrieks., I try to reason with the spirit, explaining I'm here to preserve its knowledge.","output: Persuasion, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You find a section of the wall that looks different from the surrounding stone., I examine the wall for secret passages.","output: Investigation, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You find a section of the wall that looks different from the surrounding stone., I examine the wall for secret passages.","output: Investigation, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are reading a powerful scroll you found., I attempt to memorize the spell written on the scroll.","output: Intelligence, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are reading a powerful scroll you found., I attempt to memorize the spell written on the scroll.","output: Intelligence, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are performing on a stage in the center of a bustling town square., I try to win over the crowd with a lively song.","output: Performance, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are performing on a stage in the center of a bustling town square., I try to win over the crowd with a lively song.","output: Performance, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.', I try to talk my way out of the fine with a charming smile and a silver tongue.","output: Deception, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., After your performance, a stern-looking city guard approaches you. 'You don't have a permit to perform here.', I try to talk my way out of the fine with a charming smile and a silver tongue.","output: Deception, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are in the royal court, speaking with a pompous Duke who holds a key you need., I flatter the Duke, complimenting his impeccable fashion sense.","output: Persuasion, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are in the royal court, speaking with a pompous Duke who holds a key you need., I flatter the Duke, complimenting his impeccable fashion sense.","output: Persuasion, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to gather information in a tavern., I listen in on the conversations around me.","output: Perception, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to gather information in a tavern., I listen in on the conversations around me.","output: Perception, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You have arrived in the village of Greyhollow, which lies under a perpetual twilight., [SCENE_START]","output: None, N/A"
