"input: player_input,check_required",output: outcome_type
"input: [SCENE_START],None",output: N/A
"input: I attempt to lift the coin purse from the merchant's belt.,Sleight of Hand",output: Pass
"input: I attempt to lift the coin purse from the merchant's belt.,Sleight of Hand",output: Fail
"input: I ask the bartender for rumors about the lost dagger, 'Heartspike'.,Persuasion",output: Pass
"input: I ask the bartender for rumors about the lost dagger, 'Heartspike'.,Persuasion",output: Fail
"input: I check the door for traps.,Investigation",output: Pass
"input: I check the door for traps.,Investigation",output: Fail
"input: I try to jump across the chasm.,Acrobatics",output: Pass
"input: I try to jump across the chasm.,Acrobatics",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I attempt to climb the icy cliff.,Athletics",output: Pass
"input: I attempt to climb the icy cliff.,Athletics",output: Fail
"input: I let out a fearsome roar to try and scare it away.,Intimidation",output: Pass
"input: I let out a fearsome roar to try and scare it away.,Intimidation",output: Fail
"input: I offer the traveler my spare fur cloak.,None",output: N/A
"input: I listen carefully to determine the source of the sound.,Perception",output: Pass
"input: I listen carefully to determine the source of the sound.,Perception",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I try to decipher the arcane lock.,Arcana",output: Pass
"input: I try to decipher the arcane lock.,Arcana",output: Fail
"input: I try to reason with the spirit, explaining I'm here to preserve its knowledge.,Persuasion",output: Pass
"input: I try to reason with the spirit, explaining I'm here to preserve its knowledge.,Persuasion",output: Fail
"input: I examine the wall for secret passages.,Investigation",output: Pass
"input: I examine the wall for secret passages.,Investigation",output: Fail
"input: I attempt to memorize the spell written on the scroll.,Intelligence",output: Pass
"input: I attempt to memorize the spell written on the scroll.,Intelligence",output: Fail
"input: I try to win over the crowd with a lively song.,Performance",output: Pass
"input: I try to win over the crowd with a lively song.,Performance",output: Fail
"input: I try to talk my way out of the fine with a charming smile and a silver tongue.,Deception",output: Pass
"input: I try to talk my way out of the fine with a charming smile and a silver tongue.,Deception",output: Fail
"input: I flatter the Duke, complimenting his impeccable fashion sense.,Persuasion",output: Pass
"input: I flatter the Duke, complimenting his impeccable fashion sense.,Persuasion",output: Fail
"input: I listen in on the conversations around me.,Perception",output: Pass
"input: I listen in on the conversations around me.,Perception",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I use my divine magic to try and heal the child.,Medicine",output: Pass
"input: I use my divine magic to try and heal the child.,Medicine",output: Fail
"input: I try to identify the symbol.,Religion",output: Pass
"input: I try to identify the symbol.,Religion",output: Fail
"input: I try to reassure him, promising the Sun God's protection.,Persuasion",output: Pass
"input: I try to reassure him, promising the Sun God's protection.,Persuasion",output: Fail
"input: I can feel the evil here. I want to know where it's strongest.,Divine Sense",output: Pass
"input: I can feel the evil here. I want to know where it's strongest.,Divine Sense",output: Fail
"input: I attempt to sneak past the guard.,Stealth",output: Pass
"input: I attempt to sneak past the guard.,Stealth",output: Fail
"input: I use my thieves' tools to pick the lock.,Thieves' Tools",output: Pass
"input: I use my thieves' tools to pick the lock.,Thieves' Tools",output: Fail
"input: I ignore his taunts and ready my axe.,Wisdom",output: Pass
"input: I ignore his taunts and ready my axe.,Wisdom",output: Fail
"input: I try to identify what kind of creature made these tracks.,Survival",output: Pass
"input: I try to identify what kind of creature made these tracks.,Survival",output: Fail
"input: I try to push the boulder out of the way.,Athletics",output: Pass
"input: I try to push the boulder out of the way.,Athletics",output: Fail
"input: I try to remember what my books said about the native creatures here.,Nature",output: Pass
"input: I try to remember what my books said about the native creatures here.,Nature",output: Fail
"input: I try to discern its function.,Arcana",output: Pass
"input: I try to discern its function.,Arcana",output: Fail
"input: I think hard about the riddle's meaning.,Intelligence",output: Pass
"input: I think hard about the riddle's meaning.,Intelligence",output: Fail
"input: I carefully make my way across the bridge.,Acrobatics",output: Pass
"input: I carefully make my way across the bridge.,Acrobatics",output: Fail
"input: I start a loud, obnoxious, and very public argument with a street vendor.,Performance",output: Pass
"input: I start a loud, obnoxious, and very public argument with a street vendor.,Performance",output: Fail
"input: I try to bluff my way through the conversation.,Deception",output: Pass
"input: I try to bluff my way through the conversation.,Deception",output: Fail
"input: I use my healer's kit to bandage their wounds.,Medicine",output: Pass
"input: I use my healer's kit to bandage their wounds.,Medicine",output: Fail
"input: I attempt to calm the animal using gentle words and gestures.,Animal Handling",output: Pass
"input: I attempt to calm the animal using gentle words and gestures.,Animal Handling",output: Fail
"input: I look for signs of which path is least affected by the blight.,Survival",output: Pass
"input: I look for signs of which path is least affected by the blight.,Survival",output: Fail
"input: I try to recall the symbol from my time on the streets.,History",output: Pass
"input: I try to recall the symbol from my time on the streets.,History",output: Fail
"input: I use my raw strength to try and beat him.,Athletics",output: Pass
"input: I use my raw strength to try and beat him.,Athletics",output: Fail
"input: I try to withstand the effects of the poison through sheer resilience.,Constitution",output: Pass
"input: I try to withstand the effects of the poison through sheer resilience.,Constitution",output: Fail
"input: I quickly put on the disguise.,Sleight of Hand",output: Pass
"input: I quickly put on the disguise.,Sleight of Hand",output: Fail
